,rcept_no,new_corp_code
0,20210316000210,00956028
1,20210324000788,01245062
2,20201130000858,01394377
3,20210322000704,00539274
4,20210318001184,00796994
5,20210318001183,00191472
6,20210318000260,01325979
7,20200629000481,01041828
8,20210318001249,01416235
9,20210322001012,00159698
10,20210318001301,00628189
11,20210720000251,01511558
12,20210311000742,00646732
13,20210316000282,00115065
14,20210323000713,00458234
15,20210218000003,00164706
16,20210322000649,00625942
17,20210315000724,00124276
18,20210318000961,01009789
19,20210315000733,00656951
20,20210331000615,00102113
21,20210326001276,00133618
22,20220318001096,00168331
23,20210318001136,00153755
24,20210319001280,00612294
25,20210311000765,00407285
26,20210317000465,00129509
27,20210322001112,00305570
28,20210317000257,00287788
29,20210317000934,00191287
30,20210319001327,00185505
31,20210323000375,00652423
32,20210311001074,00144650
33,20210419000439,00186799
34,20210316000605,00356802
35,20210318000429,00210856
36,20210318001061,01108099
37,20210322001161,00573579
38,20210701000250,00140177
39,20210317001286,00366137
40,20210323000841,00349097
41,20210323000513,00542074
42,20210630000972,00389970
43,20201229000327,00168401
44,20210315001021,00117629
45,20210319001358,00484682
46,20210707000520,00492894
47,20210318001321,00173351
48,20200928000403,00134316
49,20210323001172,00138297
50,20210319000749,00371740
51,20210318000062,00127802
52,20210416000120,00573269
53,20210316000712,00223513
54,20210319000854,00220109
55,20210310000273,00123107
56,20210318001196,00441304
57,20210323000884,00985686
58,20210325000002,00219440
59,20210316001139,00141389
60,20210316000817,00410915
61,20210707000536,00392691
62,20210323000575,00104999
63,20210317001211,00178851
64,20210319000307,01089855
65,20210303000280,00923792
66,20210319000002,00133812
67,20210317000288,00479787
68,20210329000647,00136776
69,20210318000858,00563837
70,20210319001209,00172945
71,20210319001097,00158219
72,20210318001311,00115977
73,20210322000506,00152783
74,20210322000580,00359623
75,20210817000623,00400857
76,20210318000935,00372226
77,20210323001007,00532855
78,20210218001086,00134477
79,20210603000195,00620558
80,20210330000968,00528515
81,20210318000688,00174527
82,20210323000609,00351092
83,20210311001051,00142661
84,20210311000638,00133991
85,20210317000661,00152039
86,20210318001420,00146427
87,20210319001037,00763358
88,20210318001225,00155531
89,20210319000800,00569646
90,20210618000411,00608802
91,20210322000476,00172228
92,20210818000238,00124090
93,20210318000635,00855093
94,20210318000733,00128412
95,20210319000859,00243979
96,20210329001068,01144569
97,20210322000601,00616962
98,20210326001259,00145686
99,20210323000882,00378628
100,20210315000552,00128546
101,20200629000177,00490090
102,20210311001031,00115676
103,20210319001375,00180865
104,20210322000753,00370006
105,20210322000357,00300557
106,20210322000424,00176835
107,20210323000543,00141556
108,20210322000475,00148948
109,20210317001280,00121507
110,20210817001693,00325112
111,20210318001263,00476498
112,20210319000370,00549891
113,20210311000965,00126478
114,20210826000406,00656021
115,20210317000792,01096341
116,20210319001017,00134510
117,20210318001289,00823429
118,20210319000003,00695969
119,20210311001209,00138729
120,20210315000915,00120526
121,20210406000396,00501970
122,20210322001090,00132211
123,20210317000302,00250997
124,20210426000388,00204226
125,20210319000116,00250614
126,20210322001004,00405959
127,20210308000592,00160375
128,20210318001155,00121941
129,20210317000510,00124726
130,20210322000825,00445160
131,20210323000920,00408956
132,20210311001060,00260383
133,20210315000793,00181299
134,20210318001200,00939331
135,20210323001022,00363510
136,20210322001125,00288495
137,20210317001103,00264228
138,20210319001221,00317210
139,20210311001124,00201742
140,20210318000734,00147082
141,20210713000094,00188715
142,20210405002921,00103592
143,20210311000698,00173944
144,20210318000420,00138446
145,20210330000569,00256043
146,20210331002863,00406046
147,20210315000907,00414850
148,20210322000395,00132992
149,20210504000182,00390860
150,20210315001013,00105475
151,20210318001309,00974927
152,20210315000267,00993931
153,20210331002661,00809429
154,20210316001195,00139719
155,20210318000448,00816544
156,20210322000868,00173591
157,20210326000001,00632304
158,20210318000809,00148993
159,20210318001338,00413046
160,20210420000262,00122551
161,20210319001186,00362201
162,20210323000717,00261957
163,20210319000715,00104786
164,20210322000956,00113535
165,20210419000082,00171265
166,20210316000768,00277736
167,20210323000897,00134565
168,20210323001141,00133876
169,20210317001218,00128971
170,20210316000923,00269852
171,20210322001079,01187494
172,20210311000326,00961507
173,20210323000552,00158565
174,20210323000681,00258421
175,20210318001207,00219361
176,20210317000965,00187415
177,20210311000855,00165060
178,20210407002964,00302078
179,20210218000901,00648721
180,20210709000075,00409681
181,20210316000446,00623661
182,20211201000368,00264714
183,20210330000027,00793155
184,20210329000724,00390408
185,20210604000262,00292434
186,20210319000955,00173999
187,20210611000249,01276026
188,20210322000255,00144012
189,20201130001170,01338724
190,20210322001027,00144164
191,20210323000907,00131832
192,20210322000672,00675594
193,20210318000876,00828789
194,20210323000499,00377018
195,20210322000552,00883980
196,20210322000566,01077577
197,20210315001080,00165413
198,20210319001159,00300548
199,20210319000985,00216434
200,20210319000735,00442455
201,20210616000380,00155355
202,20210323000423,00349811
203,20210325000502,00127255
204,20210319000929,01222867
205,20210316000829,00121534
206,20210319001163,00369170
207,20210319000262,00390365
208,20210326000871,00152686
209,20210517001174,00127158
210,20210316000330,00454946
211,20210315000628,00220969
212,20210317000060,00785475
213,20210318000933,00117027
214,20210323000355,00843900
215,20210330001659,00530413
216,20210316000210,00956028
217,20210324000788,01245062
218,20201130000858,01394377
219,20210322000704,00539274
220,20210318001184,00796994
221,20210318001183,00191472
222,20210318000260,01325979
223,20200629000481,01041828
224,20210318001249,01416235
225,20210322001012,00159698
226,20210318001301,00628189
227,20210720000251,01511558
228,20210311000742,00646732
229,20210316000282,00115065
230,20210323000713,00458234
231,20210218000003,00164706
232,20210322000649,00625942
233,20210315000724,00124276
234,20210318000961,01009789
235,20210315000733,00656951
236,20210331000615,00102113
237,20210326001276,00133618
238,20220318001096,00168331
239,20210318001136,00153755
240,20210319001280,00612294
241,20210311000765,00407285
242,20210317000465,00129509
243,20210322001112,00305570
244,20210317000257,00287788
245,20210317000934,00191287
246,20210319001327,00185505
247,20210323000375,00652423
248,20210311001074,00144650
249,20210419000439,00186799
250,20210316000605,00356802
251,20210318000429,00210856
252,20210318001061,01108099
253,20210322001161,00573579
254,20210701000250,00140177
255,20210317001286,00366137
256,20210323000841,00349097
257,20210323000513,00542074
258,20210630000972,00389970
259,20201229000327,00168401
260,20210315001021,00117629
261,20210319001358,00484682
262,20210707000520,00492894
263,20210318001321,00173351
264,20200928000403,00134316
265,20210323001172,00138297
266,20210319000749,00371740
267,20210318000062,00127802
268,20210416000120,00573269
269,20210316000712,00223513
270,20210319000854,00220109
271,20210310000273,00123107
272,20210318001196,00441304
273,20210323000884,00985686
274,20210325000002,00219440
275,20210316001139,00141389
276,20210316000817,00410915
277,20210707000536,00392691
278,20210323000575,00104999
279,20210317001211,00178851
280,20210319000307,01089855
281,20210303000280,00923792
282,20210319000002,00133812
283,20210317000288,00479787
284,20210329000647,00136776
285,20210318000858,00563837
286,20210319001209,00172945
287,20210319001097,00158219
288,20210318001311,00115977
289,20210322000506,00152783
290,20210322000580,00359623
291,20210817000623,00400857
292,20210318000935,00372226
293,20210323001007,00532855
294,20210218001086,00134477
295,20210603000195,00620558
296,20210330000968,00528515
297,20210318000688,00174527
298,20210323000609,00351092
299,20210311001051,00142661
300,20210311000638,00133991
301,20210317000661,00152039
302,20210318001420,00146427
303,20210319001037,00763358
304,20210318001225,00155531
305,20210319000800,00569646
306,20210618000411,00608802
307,20210322000476,00172228
308,20210818000238,00124090
309,20210318000635,00855093
310,20210318000733,00128412
311,20210319000859,00243979
312,20210329001068,01144569
313,20210322000601,00616962
314,20210326001259,00145686
315,20210323000882,00378628
316,20210315000552,00128546
317,20200629000177,00490090
318,20210311001031,00115676
319,20210319001375,00180865
320,20210322000753,00370006
321,20210322000357,00300557
322,20210322000424,00176835
323,20210323000543,00141556
324,20210322000475,00148948
325,20210317001280,00121507
326,20210817001693,00325112
327,20210318001263,00476498
328,20210319000370,00549891
329,20210311000965,00126478
330,20210826000406,00656021
331,20210317000792,01096341
332,20210319001017,00134510
333,20210318001289,00823429
334,20210319000003,00695969
335,20210311001209,00138729
336,20210315000915,00120526
337,20210406000396,00501970
338,20210322001090,00132211
339,20210317000302,00250997
340,20210426000388,00204226
341,20210319000116,00250614
342,20210322001004,00405959
343,20210308000592,00160375
344,20210318001155,00121941
345,20210317000510,00124726
346,20210322000825,00445160
347,20210323000920,00408956
348,20210311001060,00260383
349,20210315000793,00181299
350,20210318001200,00939331
351,20210323001022,00363510
352,20210322001125,00288495
353,20210317001103,00264228
354,20210319001221,00317210
355,20210311001124,00201742
356,20210318000734,00147082
357,20210713000094,00188715
358,20210405002921,00103592
359,20210311000698,00173944
360,20210318000420,00138446
361,20210330000569,00256043
362,20210331002863,00406046
363,20210315000907,00414850
364,20210322000395,00132992
365,20210504000182,00390860
366,20210315001013,00105475
367,20210318001309,00974927
368,20210315000267,00993931
369,20210331002661,00809429
370,20210316001195,00139719
371,20210318000448,00816544
372,20210322000868,00173591
373,20210326000001,00632304
374,20210318000809,00148993
375,20210318001338,00413046
376,20210420000262,00122551
377,20210319001186,00362201
378,20210323000717,00261957
379,20210319000715,00104786
380,20210322000956,00113535
381,20210419000082,00171265
382,20210316000768,00277736
383,20210323000897,00134565
384,20210323001141,00133876
385,20210317001218,00128971
386,20210316000923,00269852
387,20210322001079,01187494
388,20210311000326,00961507
389,20210323000552,00158565
390,20210323000681,00258421
391,20210318001207,00219361
392,20210317000965,00187415
393,20210311000855,00165060
394,20210407002964,00302078
395,20210218000901,00648721
396,20210709000075,00409681
397,20210316000446,00623661
398,20211201000368,00264714
399,20210330000027,00793155
400,20210329000724,00390408
401,20210604000262,00292434
402,20210319000955,00173999
403,20210611000249,01276026
404,20210322000255,00144012
405,20201130001170,01338724
406,20210322001027,00144164
407,20210323000907,00131832
408,20210322000672,00675594
409,20210318000876,00828789
410,20210323000499,00377018
411,20210322000552,00883980
412,20210322000566,01077577
413,20210315001080,00165413
414,20210319001159,00300548
415,20210319000985,00216434
416,20210319000735,00442455
417,20210616000380,00155355
418,20210323000423,00349811
419,20210325000502,00127255
420,20210319000929,01222867
421,20210316000829,00121534
422,20210319001163,00369170
423,20210319000262,00390365
424,20210326000871,00152686
425,20210517001174,00127158
426,20210316000330,00454946
427,20210315000628,00220969
428,20210317000060,00785475
429,20210318000933,00117027
430,20210323000355,00843900
431,20210330001659,00530413
432,20210316000210,00956028
433,20210324000788,01245062
434,20201130000858,01394377
435,20210322000704,00539274
436,20210318001184,00796994
437,20210318001183,00191472
438,20210318000260,01325979
439,20200629000481,01041828
440,20210318001249,01416235
441,20210322001012,00159698
442,20210318001301,00628189
443,20210720000251,01511558
444,20210311000742,00646732
445,20210316000282,00115065
446,20210323000713,00458234
447,20210218000003,00164706
448,20210322000649,00625942
449,20210315000724,00124276
450,20210318000961,01009789
451,20210315000733,00656951
452,20210331000615,00102113
453,20210326001276,00133618
454,20220318001096,00168331
455,20210318001136,00153755
456,20210319001280,00612294
457,20210311000765,00407285
458,20210317000465,00129509
459,20210322001112,00305570
460,20210317000257,00287788
461,20210317000934,00191287
462,20210319001327,00185505
463,20210323000375,00652423
464,20210311001074,00144650
465,20210419000439,00186799
466,20210316000605,00356802
467,20210318000429,00210856
468,20210318001061,01108099
469,20210322001161,00573579
470,20210701000250,00140177
471,20210317001286,00366137
472,20210323000841,00349097
473,20210323000513,00542074
474,20210630000972,00389970
475,20201229000327,00168401
476,20210315001021,00117629
477,20210319001358,00484682
478,20210707000520,00492894
479,20210318001321,00173351
480,20200928000403,00134316
481,20210323001172,00138297
482,20210319000749,00371740
483,20210318000062,00127802
484,20210416000120,00573269
485,20210316000712,00223513
486,20210319000854,00220109
487,20210310000273,00123107
488,20210318001196,00441304
489,20210323000884,00985686
490,20210325000002,00219440
491,20210316001139,00141389
492,20210316000817,00410915
493,20210707000536,00392691
494,20210323000575,00104999
495,20210317001211,00178851
496,20210319000307,01089855
497,20210303000280,00923792
498,20210319000002,00133812
499,20210317000288,00479787
500,20210329000647,00136776
501,20210318000858,00563837
502,20210319001209,00172945
503,20210319001097,00158219
504,20210318001311,00115977
505,20210322000506,00152783
506,20210322000580,00359623
507,20210817000623,00400857
508,20210318000935,00372226
509,20210323001007,00532855
510,20210218001086,00134477
511,20210603000195,00620558
512,20210330000968,00528515
513,20210318000688,00174527
514,20210323000609,00351092
515,20210311001051,00142661
516,20210311000638,00133991
517,20210317000661,00152039
518,20210318001420,00146427
519,20210319001037,00763358
520,20210318001225,00155531
521,20210319000800,00569646
522,20210618000411,00608802
523,20210322000476,00172228
524,20210818000238,00124090
525,20210318000635,00855093
526,20210318000733,00128412
527,20210319000859,00243979
528,20210329001068,01144569
529,20210322000601,00616962
530,20210326001259,00145686
531,20210323000882,00378628
532,20210315000552,00128546
533,20200629000177,00490090
534,20210311001031,00115676
535,20210319001375,00180865
536,20210322000753,00370006
537,20210322000357,00300557
538,20210322000424,00176835
539,20210323000543,00141556
540,20210322000475,00148948
541,20210317001280,00121507
542,20210817001693,00325112
543,20210318001263,00476498
544,20210319000370,00549891
545,20210311000965,00126478
546,20210826000406,00656021
547,20210317000792,01096341
548,20210319001017,00134510
549,20210318001289,00823429
550,20210319000003,00695969
551,20210311001209,00138729
552,20210315000915,00120526
553,20210406000396,00501970
554,20210322001090,00132211
555,20210317000302,00250997
556,20210426000388,00204226
557,20210319000116,00250614
558,20210322001004,00405959
559,20210308000592,00160375
560,20210318001155,00121941
561,20210317000510,00124726
562,20210322000825,00445160
563,20210323000920,00408956
564,20210311001060,00260383
565,20210315000793,00181299
566,20210318001200,00939331
567,20210323001022,00363510
568,20210322001125,00288495
569,20210317001103,00264228
570,20210319001221,00317210
571,20210311001124,00201742
572,20210318000734,00147082
573,20210713000094,00188715
574,20210405002921,00103592
575,20210311000698,00173944
576,20210318000420,00138446
577,20210330000569,00256043
578,20210331002863,00406046
579,20210315000907,00414850
580,20210322000395,00132992
581,20210504000182,00390860
582,20210315001013,00105475
583,20210318001309,00974927
584,20210315000267,00993931
585,20210331002661,00809429
586,20210316001195,00139719
587,20210318000448,00816544
588,20210322000868,00173591
589,20210326000001,00632304
590,20210318000809,00148993
591,20210318001338,00413046
592,20210420000262,00122551
593,20210319001186,00362201
594,20210323000717,00261957
595,20210319000715,00104786
596,20210322000956,00113535
597,20210419000082,00171265
598,20210316000768,00277736
599,20210323000897,00134565
600,20210323001141,00133876
601,20210317001218,00128971
602,20210316000923,00269852
603,20210322001079,01187494
604,20210311000326,00961507
605,20210323000552,00158565
606,20210323000681,00258421
607,20210318001207,00219361
608,20210317000965,00187415
609,20210311000855,00165060
610,20210407002964,00302078
611,20210218000901,00648721
612,20210709000075,00409681
613,20210316000446,00623661
614,20211201000368,00264714
615,20210330000027,00793155
616,20210329000724,00390408
617,20210604000262,00292434
618,20210319000955,00173999
619,20210611000249,01276026
620,20210322000255,00144012
621,20201130001170,01338724
622,20210322001027,00144164
623,20210323000907,00131832
624,20210322000672,00675594
625,20210318000876,00828789
626,20210323000499,00377018
627,20210322000552,00883980
628,20210322000566,01077577
629,20210315001080,00165413
630,20210319001159,00300548
631,20210319000985,00216434
632,20210319000735,00442455
633,20210616000380,00155355
634,20210323000423,00349811
635,20210325000502,00127255
636,20210319000929,01222867
637,20210316000829,00121534
638,20210319001163,00369170
639,20210319000262,00390365
640,20210326000871,00152686
641,20210517001174,00127158
642,20210316000330,00454946
643,20210315000628,00220969
644,20210317000060,00785475
645,20210318000933,00117027
646,20210323000355,00843900
647,20210330001659,00530413
648,20210316000210,00956028
